QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","",125263-87467:Chuba Hubbard,125263-87467,RB,Chuba,Chuba Hubbard,Hubbard,7.3600001017252605,15,5200,LAR@CAR,CAR,LAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-64496:Olamide Zaccheaus,125263-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.664285932268415,14,5200,GB@CHI,CHI,GB,,,,,,WR/FLEX
"","","","","","","","","","",125263-114198:Xavier Legette,125263-114198,WR,Xavier,Xavier Legette,Legette,4.7866668701171875,15,5100,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-166916:Matthew Golden,125263-166916,WR,Matthew,Matthew Golden,Golden,3.9642857142857144,14,5000,GB@CHI,GB,CHI,,,,,,WR/FLEX
"","","","","","","","","","",125263-47870:Tyler Higbee,125263-47870,TE,Tyler,Tyler Higbee,Higbee,6.511110941569011,9,5000,LAR@CAR,LAR,CAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-151915:Terrance Ferguson,125263-151915,TE,Terrance,Terrance Ferguson,Ferguson,4.236363497647372,11,4900,LAR@CAR,LAR,CAR,Q,Hamstring,,,,TE/FLEX
"","","","","","","","","","",125263-113096:Xavier Smith,125263-113096,WR,Xavier,Xavier Smith,Smith,2.456249952316284,16,4900,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-12538:Los Angeles Rams,125263-12538,D,Los Angeles,Los Angeles Rams,Rams,8.294117647058824,17,4900,LAR@CAR,LAR,CAR,,,,,,DEF
"","","","","","","","","","",125263-110457:Dontayvion Wicks,125263-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.676923018235427,13,4800,GB@CHI,GB,CHI,O,Concussion,,,,WR/FLEX
"","","","","","","","","","",125263-103195:Jordan Whittington,125263-103195,WR,Jordan,Jordan Whittington,Whittington,1.8199999491373697,15,4700,LAR@CAR,LAR,CAR,O,Knee,,,,WR/FLEX
"","","","","","","","","","",125263-91101:Tommy Tremble,125263-91101,TE,Tommy,Tommy Tremble,Tremble,3.3600001017252605,15,4700,LAR@CAR,CAR,LAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-185861:Emanuel Wilson,125263-185861,RB,Emanuel,Emanuel Wilson,Wilson,5.294117647058823,17,4600,GB@CHI,GB,CHI,,,,,,RB/FLEX
"","","","","","","","","","",125263-113228:Luke Musgrave,125263-113228,TE,Luke,Luke Musgrave,Musgrave,2.861538520226112,13,4600,GB@CHI,GB,CHI,,,,,,TE/FLEX
"","","","","","","","","","",125263-92976:Tutu Atwell,125263-92976,WR,Tutu,Tutu Atwell,Atwell,3.5250000953674316,8,4500,LAR@CAR,LAR,CAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-91047:Cole Kmet,125263-91047,TE,Cole,Cole Kmet,Kmet,3.981250047683716,16,4500,GB@CHI,CHI,GB,,,,,,TE/FLEX
"","","","","","","","","","",125263-154124:Mitchell Evans,125263-154124,TE,Mitchell,Mitchell Evans,Evans,2.9769231356107273,13,4400,LAR@CAR,CAR,LAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-92606:Bo Melton,125263-92606,WR,Bo,Bo Melton,Melton,1.8500000635782878,12,4400,GB@CHI,GB,CHI,IR,Knee,,,,WR/FLEX
"","","","","","","","","","",125263-91971:Ronnie Rivers,125263-91971,RB,Ronnie,Ronnie Rivers,Rivers,0.7666666507720947,6,4300,LAR@CAR,LAR,CAR,,,,,,RB/FLEX
"","","","","","","","","","",125263-102831:Davis Allen,125263-102831,TE,Davis,Davis Allen,Allen,3.3866666158040366,15,4300,LAR@CAR,LAR,CAR,,,,,,TE/FLEX
"","","","","","","","","","",125263-157438:Jimmy Horn Jr.,125263-157438,WR,Jimmy,Jimmy Horn Jr.,Horn Jr.,2.3200000762939452,10,4300,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-89627:Brycen Tremayne,125263-89627,WR,Brycen,Brycen Tremayne,Tremayne,1.9166666666666667,12,4200,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
"","","","","","","","","","",125263-79987:David Moore,125263-79987,WR,David,David Moore,Moore,0.7333333492279053,3,4200,LAR@CAR,CAR,LAR,,,,,,WR/FLEX
